<s>, d, "silB"
</s>, d, "silE"
、, 補助記号, "sp"
×, 名詞, "b a ts u"
Δ, 記号, "d e r u t a"
Θ, 記号, "sh i: t a"
Σ, 記号, "sh i g u m a"
Φ, 記号, "f a i"
Ψ, 記号, "p u s a i"
Ω, 名詞, "o: m u"
Ω, 記号, "o m e g a"
α, 記号, "a r u f a"
β, 記号, "b e: t a"
γ, 記号, "g a N m a"
δ, 記号, "d e r u t a"
ε, 記号, "i p u sh i r o N"
ζ, 記号, "z e: t a"
η, 記号, "i: t a"
θ, 記号, "sh i: t a"
κ, 記号, "k a q p a"
λ, 記号, "r a m u d a"
μ, 記号, "my u:"
μｇ, 名詞, "m a i k u r o g u r a m u"
μｍ, 名詞, "m a i k u r o m e: t o r u"
ν, 記号, "ny u:"
ξ, 記号, "k u s a i"
π, 記号, "p a i"
ρ, 記号, "r o:"
σ, 記号, "sh i g u m a"
τ, 記号, "t a u"
υ, 記号, "u p u sh i r o N"
φ, 記号, "f a i"
χ, 記号, "k a i"
ψ, 記号, "p u s a i"
ω, 記号, "o m e g a"
℃, 名詞, "d o"
ℓ, 名詞, "r i q t o r u"
Ⅰ, 名詞, "i ch i"
Ⅰ, 名詞, "i q"
Ⅱ, 名詞, "n i"
Ⅱ, 名詞, "ts u:"
Ⅲ, 名詞, "s a N"
Ⅲ, 名詞, "s u r i:"
Ⅳ, 名詞, "y o N"
Ⅴ, 名詞, "g o"
Ⅵ, 名詞, "r o k u"
Ⅶ, 名詞, "n a n a"
Ⅷ, 名詞, "h a ch i"
Ⅸ, 名詞, "ky u:"
Ⅹ, 名詞, "j u:"
ⅰ, 名詞, "i ch i"
ⅱ, 名詞, "n i"
ⅲ, 名詞, "s a N"
ⅳ, 名詞, "y o N"
ⅴ, 名詞, "g o"
ⅵ, 名詞, "r o k u"
ⅶ, 名詞, "n a n a"
ⅹ, 名詞, "j u:"
○, 名詞, "m a r u"
○, 名詞, "z e r o"
○○, 名詞, "m a r u m a r u"
○印, 名詞, "m a r u j i r u sh i"
〆, 動詞, "sh i m e"
〇, 名詞, "m a r u"
〇, 名詞, "r e:"
〇, 名詞, "z e r o"
あ, 動詞, "a"
