***	名詞,サ変接続,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
.....	名詞,サ変接続,*,*,*,*,*
....．	名詞,サ変接続,*,*,*,*,*
001	名詞,数,*,*,*,*,*
002	名詞,数,*,*,*,*,*
004	名詞,数,*,*,*,*,*
005	名詞,数,*,*,*,*,*
006	名詞,数,*,*,*,*,*
007	名詞,数,*,*,*,*,*
008	名詞,数,*,*,*,*,*
010	名詞,数,*,*,*,*,*
011	名詞,数,*,*,*,*,*
012	名詞,数,*,*,*,*,*
013	名詞,数,*,*,*,*,*
014	名詞,数,*,*,*,*,*
015	名詞,数,*,*,*,*,*
016	名詞,数,*,*,*,*,*
017	名詞,数,*,*,*,*,*
018	名詞,数,*,*,*,*,*
019	名詞,数,*,*,*,*,*
020	名詞,数,*,*,*,*,*
021	名詞,数,*,*,*,*,*
022	名詞,数,*,*,*,*,*
023	名詞,数,*,*,*,*,*
024	名詞,数,*,*,*,*,*
025	名詞,数,*,*,*,*,*
026	名詞,数,*,*,*,*,*
027	名詞,数,*,*,*,*,*
029	名詞,数,*,*,*,*,*
030	名詞,数,*,*,*,*,*
031	名詞,数,*,*,*,*,*
032	名詞,数,*,*,*,*,*
033	名詞,数,*,*,*,*,*
034	名詞,数,*,*,*,*,*
035	名詞,数,*,*,*,*,*
036	名詞,数,*,*,*,*,*
037	名詞,数,*,*,*,*,*
039	名詞,数,*,*,*,*,*
041	名詞,数,*,*,*,*,*
044	名詞,数,*,*,*,*,*
045	名詞,数,*,*,*,*,*
046	名詞,数,*,*,*,*,*
047	名詞,数,*,*,*,*,*
048	名詞,数,*,*,*,*,*
049	名詞,数,*,*,*,*,*
049１	名詞,数,*,*,*,*,*
050	名詞,数,*,*,*,*,*
051	名詞,数,*,*,*,*,*
052	名詞,数,*,*,*,*,*
053	名詞,数,*,*,*,*,*
054	名詞,数,*,*,*,*,*
056	名詞,数,*,*,*,*,*
057	名詞,数,*,*,*,*,*
058	名詞,数,*,*,*,*,*
060	名詞,数,*,*,*,*,*
063	名詞,数,*,*,*,*,*
